City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Waingapu,ID,75.02,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
409,Karachi,PK,85.82,scattered clouds,24.9056,67.0822,Sadaat
410,Kaliua,TZ,70.88,broken clouds,-5.0606,31.7936,Millennium Complex
414,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
416,Harsin,IR,70.61,clear sky,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
418,Nanakuli,US,80.04,clear sky,21.3906,-158.1547,Camp Pālehua
421,Aloleng,PH,84.25,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
423,Karratha,AU,72.09,light rain,-20.7377,116.8463,ibis Styles Karratha
425,Sunyani,GH,84.61,broken clouds,7.3399,-2.3268,Nass Lodge
428,Rafai,CF,76.59,overcast clouds,4.95,23.9167,
430,Luang Prabang,LA,75.54,overcast clouds,19.8856,102.1347,Villa Oasis
436,Abha,SA,70.05,few clouds,18.2164,42.5053,Abha Hotel
437,Avera,US,85.91,broken clouds,33.194,-82.5271,
438,Acatlan,MX,76.39,broken clouds,20.15,-98.45,Rancho La Laja
441,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
442,Sampit,ID,74.34,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
443,Discovery Bay,US,73.96,clear sky,37.9085,-121.6002,Orwood Resort Inc
448,Eyl,SO,80.55,broken clouds,7.9803,49.8164,Amiin Hotel
450,Guanare,VE,82.42,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
452,Santa Cruz De Tenerife,ES,74.91,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
454,Tutoia,BR,87.78,broken clouds,-2.7619,-42.2744,Pousada Guará's
455,Arcachon,FR,77.41,broken clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
458,Vanimo,PG,78.06,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,Felanitx,ES,76.44,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
465,Kantunilkin,MX,89.44,clear sky,21.0917,-87.45,Posada Paraiso
467,Pemba,MZ,76.48,clear sky,-12.974,40.5178,Guesthouse Samotina
470,Roseland,US,79.88,few clouds,38.4221,-122.728,Best Western Garden Inn
472,Mitu,CO,87.04,scattered clouds,1.1983,-70.1733,
474,Sete,FR,78.89,overcast clouds,43.4018,3.6966,Hôtel de Paris
475,Akdepe,TM,86.09,clear sky,42.0551,59.3788,Мой дом
487,Tortoli,IT,75.97,scattered clouds,39.9256,9.6572,Hotel La Bitta
490,Remedios,CU,84.07,clear sky,22.4947,-79.5458,Hostal Yunai
491,Tezu,IN,77.22,broken clouds,27.9167,96.1667,Circuit House
495,Siocon,PH,79.16,broken clouds,7.7061,122.1353,ABS Hotel
